Point;Latitude;Longitude;Contexte;Integration;NORTAV;NORTNAV;NORTXAV;NORTRAV;NORTXQ90;NORTXQ10;NORTNQ10;NORTNQ90;NORTXND;NORTNND;NORTNHT;NORTXHWD;NORTNCWD;NORTNFD;NORTXFD;NORSD;NORTR;NORHDD;NORCDD;
11619;47.3366;-0.9991;RCP8.5;H1;12.86;9.03;16.7;7.67;26.34;7.78;1.5;15.97;58;14;51;16;2;22;2;51;5;1856.34;254.99;
11620;47.3396;-0.8933;RCP8.5;H1;12.65;8.8;16.5;7.7;26.22;7.51;1.32;15.71;58;14;51;15;2;24;3;49;4;1916.33;240.94;
11621;47.3425;-0.7875;RCP8.5;H1;12.87;9.05;16.68;7.64;26.3;7.75;1.53;16.03;58;14;51;15;1;22;2;50;5;1856.8;255.87;
11622;47.3453;-0.6817;RCP8.5;H1;12.94;9.21;16.66;7.45;26.4;7.57;1.63;16.32;61;13;51;16;1;21;2;52;6;1849.91;271.34;
11623;47.348;-0.5759;RCP8.5;H1;12.71;9;16.42;7.43;26.21;7.3;1.44;16.08;61;13;51;17;1;22;2;50;5;1911.01;254.19;
11624;47.3506;-0.4701;RCP8.5;H1;12.82;9.11;16.53;7.42;26.26;7.42;1.52;16.24;61;13;50;16;1;21;2;50;5;1881.65;263.44;
11625;47.3531;-0.3643;RCP8.5;H1;12.79;9.08;16.51;7.43;26.26;7.38;1.53;16.19;60;14;51;16;1;22;2;50;5;1887.46;259.39;
11626;47.3556;-0.2584;RCP8.5;H1;12.91;9.19;16.63;7.44;26.38;7.54;1.64;16.32;60;14;51;16;1;21;2;51;5;1854.7;268.94;
11627;47.3579;-0.1526;RCP8.5;H1;12.98;9.2;16.77;7.57;26.6;7.53;1.55;16.4;62;13;51;17;2;21;2;55;5;1843.73;280.92;
11628;47.3601;-0.0467;RCP8.5;H1;12.84;9.06;16.61;7.55;26.5;7.35;1.47;16.22;62;13;51;17;1;22;3;53;6;1881.49;268.03;
11629;47.3623;0.0591;RCP8.5;H1;12.53;8.78;16.29;7.5;26.24;7;1.26;15.9;63;13;51;17;1;24;4;50;4;1963.99;245.83;
11630;47.3643;0.165;RCP8.5;H1;12.52;8.77;16.28;7.51;26.42;6.7;1.06;16.12;64;13;53;18;1;25;4;52;5;1988.03;263.86;
11631;47.3662;0.2709;RCP8.5;H1;12.54;8.84;16.24;7.4;26.36;6.72;1.15;16.08;64;9;50;19;2;24;4;51;5;1992.25;274.01;
11632;47.3681;0.3768;RCP8.5;H1;12.59;8.94;16.24;7.3;26.32;6.77;1.31;16.16;64;9;49;19;1;23;4;51;6;1974.45;273.65;
11633;47.3698;0.4827;RCP8.5;H1;12.53;8.79;16.27;7.48;26.43;6.72;1.1;16.05;65;13;54;20;1;24;4;51;6;1984.83;263.76;
11634;47.3715;0.5886;RCP8.5;H1;12.65;8.78;16.52;7.74;26.73;6.79;1.08;16.08;67;13;53;21;1;24;4;55;5;1957.7;275.54;
11635;47.373;0.6945;RCP8.5;H1;12.69;8.84;16.55;7.71;26.75;6.84;1.12;16.22;67;12;52;21;1;24;4;56;5;1951.03;285.23;
11636;47.3745;0.8004;RCP8.5;H1;12.71;8.85;16.56;7.71;26.82;6.87;1.14;16.17;66;13;53;21;2;23;4;56;6;1945.18;283.68;
