Point;Latitude;Longitude;Contexte;Integration;NORPAV;NORPINT;NORRR;NORPFL90;NORRR1MM;NORPXCWD;NORPN20MM;NORPXCDD;
8115;45.5122;6.3818;RCP8.5;H1;4.61;11.98;1684.94;62.86;139.53;11;26;23;
8116;45.5085;6.484;RCP8.5;H1;4.64;11.28;1693.78;60.75;148.63;10;25;22;
8117;45.5046;6.5862;RCP8.5;H1;3.52;9.24;1283.95;64.62;136.67;9;14;22;
8118;45.5007;6.6884;RCP8.5;H1;3.81;10.38;1391.27;65.49;131.93;9;17;23;
8119;45.4967;6.7906;RCP8.5;H1;4.06;10.9;1481.65;63.85;134.47;9;20;21;
8120;45.4926;6.8927;RCP8.5;H1;3.99;10.38;1458.88;62.99;139;9;18;20;
8121;45.4883;6.9949;RCP8.5;H1;3.69;9.02;1349.11;63.23;147.4;10;15;20;
8186;45.6077;-0.9971;RCP8.5;H1;2.1;6.13;766.94;63.12;121.57;11;4;28;
8187;45.6107;-0.8946;RCP8.5;H1;2.42;6.74;882.04;61.86;127.8;11;5;25;
8188;45.6136;-0.7922;RCP8.5;H1;2.45;6.79;894.12;61.74;128.9;11;5;26;
8189;45.6165;-0.6897;RCP8.5;H1;2.47;6.83;901.62;61.75;129.2;11;5;26;
8190;45.6192;-0.5872;RCP8.5;H1;2.44;6.8;890.09;62.47;128.03;11;5;25;
8191;45.6218;-0.4847;RCP8.5;H1;2.43;6.79;886.47;62.32;127.7;10;5;26;
8192;45.6243;-0.3822;RCP8.5;H1;2.26;6.47;827.04;63.25;124.77;10;4;25;
8193;45.6268;-0.2797;RCP8.5;H1;2.31;6.55;844.03;63.84;125.77;10;5;25;
8194;45.6291;-0.1771;RCP8.5;H1;2.32;6.57;847.08;63.79;126.03;10;5;25;
8195;45.6314;-0.0746;RCP8.5;H1;2.32;6.6;849.07;63.29;125.9;10;5;25;
8196;45.6336;0.0279;RCP8.5;H1;2.34;6.53;855.74;63.11;128.2;10;5;25;
8197;45.6356;0.1305;RCP8.5;H1;2.41;6.8;881.73;63.6;126.73;9;6;24;
8198;45.6376;0.233;RCP8.5;H1;2.47;6.86;901.27;63.89;128.8;10;6;24;
8199;45.6395;0.3356;RCP8.5;H1;2.54;7.04;929.18;63.49;128.93;10;6;25;
8200;45.6413;0.4382;RCP8.5;H1;2.56;7.09;935.3;63.46;128.97;10;6;25;
8201;45.643;0.5408;RCP8.5;H1;2.55;6.88;929.63;62.61;132.4;10;6;25;
8202;45.6445;0.6433;RCP8.5;H1;3.07;8.35;1121.93;63.46;132.37;11;12;24;
8203;45.6461;0.7459;RCP8.5;H1;3.15;8.55;1150.48;63.49;132.77;11;12;24;
8204;45.6475;0.8485;RCP8.5;H1;3.16;7.79;1155.89;59.59;146.53;12;10;22;
8205;45.6488;0.9511;RCP8.5;H1;2.94;7.2;1074.92;58.67;147.2;12;8;23;
8206;45.65;1.0537;RCP8.5;H1;3.02;7.43;1103.09;58.72;146.07;11;8;22;
8207;45.6511;1.1563;RCP8.5;H1;2.91;7.22;1061.28;58.74;144.9;11;7;20;
8208;45.6522;1.259;RCP8.5;H1;2.88;7.18;1050.4;58.75;144.23;11;7;20;
8209;45.6531;1.3616;RCP8.5;H1;2.86;7.17;1044.97;58.71;143.37;11;7;22;
8210;45.654;1.4642;RCP8.5;H1;2.84;7.14;1037.22;58.63;142.9;10;7;21;
8211;45.6547;1.5668;RCP8.5;H1;3.43;8.5;1252.15;59.32;145.43;11;12;20;
8212;45.6554;1.6694;RCP8.5;H1;3.46;8.55;1262.94;59.46;145.63;11;12;21;
8213;45.6559;1.7721;RCP8.5;H1;3.61;8.97;1317.91;59.86;144.77;11;14;22;
8214;45.6564;1.8747;RCP8.5;H1;3.94;9.55;1439.05;59.82;148.87;11;18;21;
8215;45.6568;1.9773;RCP8.5;H1;3.71;8.78;1354.28;59.88;152.03;11;15;20;
8216;45.6571;2.08;RCP8.5;H1;3.79;9.11;1383.24;60.28;149.77;11;16;19;
8217;45.6572;2.1826;RCP8.5;H1;3.68;8.72;1344.68;59.43;151.93;11;15;18;
8218;45.6573;2.2852;RCP8.5;H1;2.72;6.8;993.19;61.18;142.9;10;9;19;
8219;45.6573;2.3879;RCP8.5;H1;3.42;8.57;1250.1;62.52;143.7;10;14;20;
8220;45.6572;2.4905;RCP8.5;H1;3.35;8.52;1223.44;61.94;141.27;10;14;20;
8221;45.6571;2.5931;RCP8.5;H1;3.6;8.53;1315.41;58.13;151.87;11;15;19;
8222;45.6568;2.6958;RCP8.5;H1;3.69;8.74;1347.13;58.37;151.97;11;15;19;
8223;45.6564;2.7984;RCP8.5;H1;3.18;7.19;1160.07;56.03;158.2;11;10;17;
8224;45.6559;2.901;RCP8.5;H1;3.2;7.17;1167.25;56.52;159.8;10;10;17;
8225;45.6554;3.0037;RCP8.5;H1;3.07;7.01;1121.29;56.53;156.63;10;9;17;
8226;45.6547;3.1063;RCP8.5;H1;2.18;5.79;797.84;63.31;132.47;8;5;20;
8227;45.654;3.2089;RCP8.5;H1;1.99;5.95;726.88;67.13;117.23;7;5;21;
8228;45.6531;3.3115;RCP8.5;H1;2.01;6.02;735.48;67.78;117.97;8;5;20;
8229;45.6522;3.4141;RCP8.5;H1;2.77;6.53;1012.92;57.82;152.03;9;7;19;
8230;45.6511;3.5168;RCP8.5;H1;2.79;6.55;1018.04;57.79;152.33;9;7;19;
8231;45.65;3.6194;RCP8.5;H1;2.83;6.61;1032.28;57.69;153.47;10;7;19;
8232;45.6488;3.722;RCP8.5;H1;2.96;7.28;1081.41;60.12;145.13;9;9;19;
8233;45.6475;3.8246;RCP8.5;H1;3.17;7.61;1156.5;59.35;148.97;10;10;19;
8234;45.6461;3.9272;RCP8.5;H1;2.93;7.06;1068.39;58.96;148.23;8;8;17;
8235;45.6446;4.0298;RCP8.5;H1;2.1;6.1;768;66.68;122.27;8;6;20;
8236;45.643;4.1323;RCP8.5;H1;2.04;5.95;745.45;66.5;121.73;8;6;20;
8237;45.6413;4.2349;RCP8.5;H1;1.9;5.79;692.27;67.33;115.9;8;5;21;
8238;45.6395;4.3375;RCP8.5;H1;2.4;6.35;876.01;63.28;134.73;9;7;19;
8239;45.6376;4.4401;RCP8.5;H1;2.37;6.84;865.82;67.01;123.73;7;7;21;
8240;45.6356;4.5426;RCP8.5;H1;2.46;7.22;897.89;67.9;121.57;8;8;20;
8241;45.6336;4.6452;RCP8.5;H1;2.29;7;837.27;69.01;116.43;7;7;21;
8242;45.6314;4.7477;RCP8.5;H1;2.31;7.06;842.06;69.22;116.6;7;7;20;
8243;45.6292;4.8502;RCP8.5;H1;2.29;6.99;834.91;69.19;116.4;7;7;21;
